source,target,graph_id
30064771244,30064771245,23
30064771245,30064771246,23
30064771259,30064771260,23
30064771263,146028888082,23
146028888081,128849018903,23
30064771262,30064771263,23
30064771248,55834574864,23
30064771261,30064771262,23
30064771247,30064771248,23
30064771255,184683593729,23
30064771254,30064771255,23
184683593729,55834574865,23
184683593729,30064771259,23
30064771253,30064771254,23
30064771258,55834574863,23
30064771252,184683593729,23
55834574864,30064771253,23
30064771257,30064771258,23
30064771251,30064771249,23
30064771250,30064771252,23
30064771256,30064771257,23
55834574863,30064771251,23
30064771249,30064771250,23
55834574865,30064771256,23
111669149719,30064771244,23
30064771339,55834574878,33
30064771341,146028888085,33
146028888085,128849018913,33
30064771338,30064771339,33
30064771340,30064771341,33
55834574878,30064771340,33
111669149729,30064771338,33
111669149740,128849018924,44
111669149732,128849018916,36
30064771289,55834574870,26
30064771291,55834574871,26
30064771293,30064771294,26
30064771295,30064771296,26
30064771288,30064771289,26
30064771290,30064771291,26
30064771292,30064771293,26
30064771294,30064771295,26
55834574870,30064771290,26
55834574871,30064771292,26
30064771296,55834574869,26
146028888083,128849018906,26
30064771287,146028888083,26
30064771287,30064771297,26
30064771297,30064771297,26
30064771297,128849018906,26
30064771286,30064771287,26
55834574869,30064771286,26
111669149722,30064771288,26
30064771199,30064771200,19
30064771201,30064771202,19
30064771202,30064771203,19
30064771206,30064771207,19
30064771210,30064771211,19
30064771211,30064771212,19
30064771213,55834574862,19
30064771216,30064771217,19
30064771219,30064771220,19
30064771220,30064771221,19
30064771222,30064771223,19
30064771225,30064771226,19
30064771226,30064771227,19
30064771228,30064771229,19
30064771231,128849018899,19
30064771198,30064771199,19
30064771200,30064771201,19
30064771205,30064771206,19
30064771209,30064771210,19
30064771212,30064771213,19
30064771215,30064771216,19
30064771218,30064771219,19
30064771221,30064771222,19
30064771224,30064771225,19
30064771227,30064771228,19
30064771230,30064771231,19
30064771204,30064771205,19
30064771208,30064771209,19
30064771214,30064771215,19
30064771217,30064771218,19
30064771223,30064771224,19
30064771229,30064771230,19
30064771203,30064771204,19
30064771207,30064771208,19
55834574862,30064771214,19
111669149715,30064771198,19
146028888069,128849018890,10
30064771138,30064771139,10
30064771142,30064771143,10
30064771146,146028888069,10
30064771137,30064771138,10
30064771139,55834574850,10
30064771141,30064771142,10
30064771143,55834574851,10
30064771145,30064771146,10
30064771140,30064771141,10
30064771144,30064771145,10
55834574850,30064771140,10
55834574851,30064771144,10
111669149706,30064771137,10
30064771105,30064771106,3
30064771107,30064771108,3
146028888065,128849018883,3
30064771104,30064771105,3
30064771106,30064771107,3
30064771109,30064771110,3
30064771111,30064771112,3
30064771113,30064771114,3
30064771119,146028888065,3
30064771108,30064771109,3
